timestamp,motor_type,load_condition,cooling_method,operating_mode,speed_rpm,torque_nm,stator_temp_C,rotor_temp_C,voltage_V,current_A,ambient_temp_C,efficiency_%,power_output_W,target_efficiency_next_%
2025-04-24 16:40:43.044977,Axial Flux,Low,Air-Cooled,Industrial Drive,3099.3428306022465,12.099033154879002,76.62410862512809,76.7163010672507,301.36506395035065,14.152480635954593,26.657755925300737,92.07112050018202,3926.891507661325,81.20869037152151
2025-04-24 16:40:44.044977,Interior Permanent Magnet,High,Liquid-Cooled,Robotic Arm,2972.347139765763,11.386950524369153,79.2774066464224,80.41702163564291,309.6879651106092,14.093171783232291,28.10720749878663,81.20869037152151,3544.341671522407,93.43840145949271
2025-04-24 16:40:45.044977,Axial Flux,Medium,Oil-Cooled,Robotic Arm,3129.5377076201385,10.08944555488026,76.0379003950002,77.62429486157855,310.18016872044444,11.40871365473997,27.173819449277264,93.43840145949271,3306.5577166047897,70.0
2025-04-24 16:40:46.044977,Interior Permanent Magnet,Medium,Liquid-Cooled,Industrial Drive,3304.605971281605,9.029594833441639,78.46019235180479,82.34788000914499,314.7263034584341,14.339819616597126,28.356012543776586,70.0,3124.7592676209165,70.0192891667748
2025-04-24 16:40:47.044977,Surface Permanent Magnet,Medium,Liquid-Cooled,Traction,2953.1693250553326,11.047334970420385,70.53192666523107,73.08847978976483,296.33141636719176,16.46565816364349,29.357549067866433,70.0192891667748,3416.4454382690474,83.2558815763337
2025-04-24 16:40:48.044977,Interior Permanent Magnet,Medium,Liquid-Cooled,Industrial Drive,2953.172608610164,10.590228078132624,81.06646853686469,81.73098696776479,315.9256727384733,12.45153576184641,32.51146345899415,83.2558815763337,3275.086410733052,81.41498344138274
2025-04-24 16:40:49.044977,Axial Flux,High,Oil-Cooled,Robotic Arm,3315.8425631014784,11.342789830041598,80.00602737681112,82.49206366622876,282.9560836839722,17.096965302101186,29.036522883882892,81.41498344138274,3938.6047931344224,74.54883893229972
2025-04-24 16:40:50.044977,Interior Permanent Magnet,Low,Oil-Cooled,Robotic Arm,3153.4869458305816,10.952757702522954,75.91455684465905,76.36725285572068,303.7011544763619,15.975549642168676,25.24312287969122,74.54883893229972,3616.955251777153,85.31432781944113
2025-04-24 16:40:51.044977,Axial Flux,Medium,Oil-Cooled,Traction,2906.1051228130095,11.574329072979003,83.29622834216202,86.3789193960491,305.1172615754846,13.531533356057924,33.420203539485485,85.31432781944113,3522.376408659666,70.0
2025-04-24 16:40:52.044977,Interior Permanent Magnet,Medium,Air-Cooled,Robotic Arm,3108.512008717193,9.197147182659148,84.6878506881328,86.21672603631492,316.3332682607124,14.716940725324305,27.48872959915488,70.0,2993.87941375762,70.0
2025-04-24 16:40:53.044977,Surface Permanent Magnet,High,Air-Cooled,Robotic Arm,2907.3164614375073,11.976091098451489,71.96220067815513,73.86856448941596,310.2263085267687,18.196643615282067,29.823838718686115,70.0,3646.162466775044,70.0
2025-04-24 16:40:54.044977,Interior Permanent Magnet,Medium,Oil-Cooled,Robotic Arm,2906.854049285949,10.2963994070386,76.18637610716893,79.51217275471112,295.94436946143713,16.46709562701173,31.339609520822133,70.0,3134.275916701508,92.8666807043697
2025-04-24 16:40:55.044977,Surface Permanent Magnet,Medium,Air-Cooled,Traction,3048.392454313207,13.112891308937899,76.1542882510635,76.86712468247926,300.15006874182984,15.017567309796295,30.59883125520835,92.8666807043697,4185.987791083472,70.0
2025-04-24 16:40:56.044977,Axial Flux,Low,Air-Cooled,Robotic Arm,2617.34395106844,8.966218272865648,75.30048449445567,75.90336630934269,311.98680009547405,14.524633366078032,33.282538642564425,70.0,2457.5294054689516,74.7902345111996
